"rental_id","rental_date","customer_id","customer_name","city","country","film_id","film_title","category","length","store_id","staff_id","staff_name","payment_amount","payment_date","rental_duration"
1520,"2005-06-15 23:57:20",341,"Peter Menard","Ede","Netherlands",749,"Rules Human","Horror",153,1,1,"Mike Hillyer",7.99,"2007-02-15 22:25:46.996577",8
1778,"2005-06-16 18:54:48",341,"Peter Menard","Ede","Netherlands",552,"Majestic Floats","Documentary",130,1,2,"Jon Stephens",1.99,"2007-02-16 17:23:14.996577",5
1849,"2005-06-17 00:13:19",341,"Peter Menard","Ede","Netherlands",551,"Maiden Home","New",138,1,2,"Jon Stephens",7.99,"2007-02-16 22:41:45.996577",6
2829,"2005-06-19 21:11:30",341,"Peter Menard","Ede","Netherlands",445,"Hyde Doctor","Classics",100,1,1,"Mike Hillyer",2.99,"2007-02-19 19:39:56.996577",4
3130,"2005-06-20 19:03:22",341,"Peter Menard","Ede","Netherlands",563,"Massacre Usual","Games",165,1,2,"Jon Stephens",7.99,"2007-02-20 17:31:48.996577",8
3382,"2005-06-21 14:05:23",341,"Peter Menard","Ede","Netherlands",26,"Annie Identity","Sci-Fi",86,1,2,"Jon Stephens",5.99,"2007-02-21 12:33:49.996577",8
2190,"2005-06-18 01:29:51",342,"Harold Martino","Boa Vista","Brazil",961,"Wash Heavenly","Foreign",161,1,2,"Jon Stephens",5.99,"2007-02-17 23:58:17.996577",8
2914,"2005-06-20 03:43:18",342,"Harold Martino","Boa Vista","Brazil",527,"Lola Agent","Horror",85,1,2,"Jon Stephens",5.99,"2007-02-20 02:11:44.996577",5
3081,"2005-06-20 15:29:13",342,"Harold Martino","Boa Vista","Brazil",449,"Identity Lover","Sci-Fi",119,1,2,"Jon Stephens",2.99,"2007-02-20 13:57:39.996577",4
1547,"2005-06-16 01:42:24",343,"Douglas Graf","Mexicali","Mexico",639,"Opposite Necklace","Family",92,1,1,"Mike Hillyer",4.99,"2007-02-16 00:10:50.996577",2
